2025-11-02 20:05:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_200532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:10:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_201030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:15:07 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_201530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:20:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_202032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:25:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_202530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:30:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_203026.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:35:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_203530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:40:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_204024.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:45:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_204530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:50:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_205031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:55:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_205533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:00:10 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_210033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:05:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_210527.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:10:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_211030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
