2025-11-02 20:05:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_200520.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:10:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_201018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:15:07 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_201519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:20:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_202016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:25:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_202515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:30:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_203016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:35:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_203517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:40:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_204015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:45:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_204515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:50:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_205016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:55:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_205519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:00:10 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_210019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:05:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_210518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:10:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_211018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_211517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_212017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:25:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_212515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:30:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_213015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:35:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_213517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_214014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:45:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_214517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:50:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_215017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:55:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_215515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:00:14 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_220024.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_220513.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:10:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_221017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_221517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_222014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:25:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_222516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:30:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_223016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:35:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_223518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_224015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:45:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_224515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:50:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_225017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:55:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_225514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:00:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_230017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_230515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:10:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_231020.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_231517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_232014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:25:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_232515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:30:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_233016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:35:05 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_233514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:40:06 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_234016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:45:06 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_234516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:50:05 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_235017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:55:06 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_235515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:00:05 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_000018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:05:05 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_000516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:10:05 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_001016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
